ID,Date,Title,Content no HTML,Topics,Regions,Events,Persons / Groups,Places,Themes,Post Type,Status
32466,2017-07-21,"White House Press Secretary Spicer resigns, Scaramucci named communications director","On July 21, 2017, the White House announced its press secretary and acting communications director, Sean Spicer, had resigned and that President Donald Trump had appointed Anthony Scaramucci as communications director. Scaramucci said Trump had named Deputy Press Secretary Sarah Huckabee Sanders to replace Spicer as press secretary. Spicer would continue as press secretary through August 2017, Sanders said.
Trump said of Spicer, “I am grateful for Sean’s work on behalf of my administration and the American people. I wish him continued success as he moves on to pursue new opportunities: Just look at his great television ratings.” 
“It has been the honor of a lifetime to serve the President and the American people,” Spicer said in an email to the White House press on Aug. 31, 2017, his last official day as press secretary. The email was tweeted by USA Today White House correspondent Gregory Korte. 
Of Scaramucci, Trump said, “Anthony is a person I have great respect for, and he will be an important addition to this administration. He has been a great supporter and will now help implement key aspects of our agenda while leading the communications team.”
Sources: Politico, The White House",Politics|The Facts|Trump,USA,appointment|resignation,Anthony Scaramucci|Sarah Huckabee Sanders|Sean Spicer,Washington,communications|media relations,world_news,publish
15961,2017-07-24,Trump adviser Kushner testifies before Senate committee,"Jared Kushner, President Donald Trump’s senior adviser and son-in-law, spoke on Monday before the Senate Intelligence Committee. The committee is investigating alleged Russian hacking and interference in the 2016 U.S. election, which Russia denies, and whether Trump campaign officials may have coordinated with Russia to do so.
Prior to the closed-door session, Kushner publicly released an 11-page statement. Kushner, who had worked on Trump’s campaign as a digital strategist, wrote, “I did not collude, nor know of anyone else in the campaign who colluded, with any foreign government. I had no improper contacts.” 
Kushner’s statement said, “With respect to my contacts with Russia or Russian representatives during the campaign, there were hardly any,” adding that he had “perhaps four contacts with Russian representatives” during the campaign and transition period.
Kushner is also scheduled to appear before the House Intelligence Committee on Tuesday to respond to questions on the same topic.
Highlights of Kushner’s written statement

	Kushner filed an SF-86 form to gain security clearance as a White House adviser. The initial version of the form, filed on Jan. 18, did not include contacts with foreign officials. The next day, his team filed an addendum stating he had “numerous contacts with foreign officials” and would provide further details. In a subsequent update, he provided a list of more than 100 foreign officials.
	Kushner said the incomplete form was filed due to a communication error with his assistant. He wrote, “People at my New York office were helping me find the information, organize it, review it and put it into the electronic form. They sent an email to my assistant in Washington, communicating that the changes to one particular section were complete; my assistant interpreted that message as meaning that the entire form was completed.”
	Kushner also referred to a meeting in June 2016 at Trump Tower with Russian lawyer Natalia Veselnitskaya and others, organized by Trump’s son Donald Trump Jr. According to Kushner’s statement, he arrived late to the meeting, “quickly determined that [his] time was not well-spent at [the] meeting,” and emailed his assistant to call his cell phone so he could have an “excuse” to leave the meeting. He said he had not spoken to the lawyer since.
	Kushner discussed two meetings with then-Russian Ambassador to the United States, Sergei Kislyak. The first time was in April 2016, when Trump was giving a foreign policy speech at the Mayflower Hotel in Washington, where Kushner said they shook hands and exchanged “pleasantries.” The second time was at Trump Tower on Dec. 1, 2016, and Kushner said the ambassador “wanted to address U.S. policy in Syria.”
	Kushner confirmed he met with Sergei Gorkov, the head of Russian state-owned VneshEconomBank (VEB), on Dec. 13. He said he attended the meeting in part because Kislyak said Gorkov “had a direct relationship” with Russian President Vladimir Putin. Previously, VEB said Gorkov met with Kushner because of Kushner’s real estate development business. Kushner disagreed with this account of the meeting, CNN reported. VEB has been subject to U.S. sanctions since July 2014. 
",Law &amp; Justice|Politics|Russia|The Facts|Trump,United States,testimony,House Intelligence Committee|Jared Kushner|Natalia Veselnitskaya|Senate Intelligence Committee|Sergei Kislyak,Washington,investigation,world_news,publish
43829,2017-08-01,Venezuela elects members for new ‘Constituent Assembly’ with power to rewrite the constitution,"Venezuelans voted on Sunday to allow President Nicolas Maduro to create a new legislative body called a “Constituent Assembly,” or “la constituyente,” which will have the power to rewrite the country’s constitution. Voters were asked to elect 545 members for the assembly from a list of 6,000 candidates. The election did not give Venezuelans an option to vote against the assembly’s creation, according to The New York Times. This will be the second time Venezuela has had a Constituent Assembly. The first one was in 1999, Al Jazeera reports.
On Sunday night, the National Electoral Council (CNE) said 8.1 million people voted in the election, which is about 41.5 percent of registered voters. (Venezuela's population is about 31 million people.) The investment bank Torino Capital and pollster Innovarium reported different figures and estimated between 3.1 and 4 million people voted, based on exit polls. 
The election did not include electoral observers — independent parties that assess election processes — or mechanisms to prevent people from voting more than once, The Wall Street Journal reported. The New York Times said that the government barred it and other news outlets from entering polling stations. 
On Monday, after the vote, the U.S. Treasury Department imposed sanctions on Maduro and other current and former government officials. The sanctions prohibit Americans from engaging in economic dealings with Maduro, and freeze any of his assets under U.S. jurisdiction.
Opposition and protests
The opposition boycotted the election and had no candidates on the ballot, CNN reported. Maduro said that two weeks ago his representatives offered to allow the opposition to add candidates and delay the vote by 15 days. He said the opposition did not accept the offer and called the vote illegitimate.
On July 16, the opposition held an unofficial referendum on whether people supported or disapproved of the creation of a Constituent Assembly. The Wall Street Journal reported that 7.5 million participated in that referendum and The New York Times said 98 percent of voters were opposed to rewriting the Constitution.
At least 125 people have been killed during protests since April, according to the Venezuelan attorney general's office. Police used tear gas against protesters in Caracas on Sunday, CNN reports; the National Guard was also present at the demonstrations. Explosions reportedly occurred in the Altamira area.
On Saturday night, one of the Constituent Assembly candidates, José Félix Pineda, was killed in his house. Opposition leader Ricardo Campos was reported dead on Sunday morning. Both deaths are being investigated by state prosecutors.

Sources: Al Jazeera, CNN, Reuters, The New York Times",Elections|Politics|The Facts|World,Latin America,,Nicolas Maduro,Venezuela,,world_news,publish
42750,2017-08-08,"Chicago sues US Attorney General, asking judge to block immigration policy affecting law enforcement funding","The city of Chicago filed a lawsuit against Attorney General Jeff Sessions on Monday in the U.S. District Court for the Northern District of Illinois. The city is asking the court to stop the government from enforcing a new immigration policy requiring cities to comply with certain conditions in order to receive federal law enforcement funding.
The new conditions include sharing information on immigration status with federal officials, giving 48 hours notice before releasing people with possible immigration violations, and giving federal officials access to detention facilities. Cities need to comply with these conditions in order to be eligible for the Edward Byrne Memorial Justice Assistance Grant, which would provide Chicago with $3.2 million this year. The city received $2.3 million from such grants last year.
Chicago currently prohibits police from giving federal immigration officials access to people in custody unless there is a criminal warrant or there are “serious” criminal convictions, the Chicago Tribune reported. According to Fox News, there are an estimated 200 to 608 local and state governments with similar policies in place, sometimes referred to as “sanctuary policies.”
(Sources: Fox News, The New York Times, The Chicago Tribune)",The Facts,USA,,,Chicago|United States,immigration,world_news,publish
42764,2017-08-08,Tropical Storm Franklin projected to reach Mexico’s Yucatan Peninsula Monday night,"Tropical Storm Franklin is projected to make landfall on Mexico’s Yucatan Peninsula Monday night. A tropical storm warning has been issued and hurricane conditions are possible for parts of the Yucatan Peninsula. Hurricane conditions are defined as wind speeds greater than 74 mph, according to The Washington Post, while a tropical storm warning means that wind speeds of greater than 40 mph are expected.
Three to six inches of rain, with up to 12 inches in some areas, are projected for Belize and the Yucatan Peninsula, and there may be flash flooding. Waves greater than 10 feet could reach the eastern coast of the peninsula, including Cozumel and Cancun. The storm is projected by the National Hurricane Center to pass into the Gulf of Mexico late Tuesday, and is expected to make landfall in eastern Mexico on Thursday as a hurricane. While Franklin is not forecast to directly affect the U.S., Texas could experience “high surf, rip current, and possibly some minor coastal flooding” on Wednesday and Thursday, according to The Weather Channel.
(Sources: The Weather Channel, The Washington Post)",The Facts|World,Asia|Caribbean|Latin America|USA,,Rahm Emanuel,Caribbean|Chicago|Mexico|North Korea|United States,diplomacy|hurricanes|immigration|justice|law|natural disasters|sanctions|tropical storms|weather,world_news,publish
42773,2017-08-08,"Israel announces plan to close Al Jazeera offices, remove network from air","Israel announced plans to close news outlet Al Jazeera’s Jerusalem offices, revoke its journalists’ press credentials, and take its Arabic and English channels off the air. Israeli Communications Minister Ayoub Kara made the announcement about the Qatari state-funded network on Sunday, saying, “We have based our decision on the move by Sunni Arab states to close the Al Jazeera offices and prohibiting their work.”
Kara said Al Jazeera is being used to “incite” violence and alleged that the outlet “backs terrorism.” Al Jazeera has denied the allegations. The news outlet said in a statement that it “stresses that it will closely watch the developments that may result from the Israeli decision and will take the necessary legal measures towards it.”
Kara asked the Government Press Office (GPO) to revoke press passes held by the network’s journalists. Al Jazeera’s Israeli journalists are members of the Foreign Press Association, and most have government-vetted GPO credentials, The Jerusalem Post reported. Kara said cable television providers have agreed to take the network off the air.
Kara asked Defense Minister Avigdor Liberman to close Al Jazeera’s Israeli offices. Kara said he would propose legislation that would allow the government to favor security concerns over freedom of expression in certain circumstances.

Sources: Al Jazeera, The Guardian, Jerusalem Post, BBC",The Facts|World,Middle East,,Al Jazeera,Israel,journalism|press freedom,world_news,publish
42755,2017-08-09,7.0 magnitude earthquake hits Southwest China; 7 dead and 88 injured,"A 7.0 magnitude earthquake occurred in southwest China at 9:19 p.m. Beijing time on Tuesday, according to the China Earthquake Networks Center (CENC). Citing a Chinese outlet, AFP reported that seven people were killed and 88 were injured. 
China's National Commission for Disaster Reduction stated that as many as 100 people may have died. The Associated Press reported five of the deceased were tourists.  
The epicenter of the quake was estimated at a depth of 20 km (12.5 miles), and the location was 33.2 degrees north and 103.82 degrees east in Sichuan province, according to CENC. The U.S. Geological Survey measured the quake at 6.5 and estimated the depth at 9 kilometers (5.5 miles).
The Jiuzhaigou national park, a UNESCO World Heritage site, is located in the affected region. 
(Sources: AFP, Xinhua, AP)",The Facts,China,earthquake,,China,,world_news,publish
42781,2017-08-09,Kenya holds general election; Kenyatta leads vote for president,"Kenya held a general election on Tuesday. In the race for president, the incumbent Uhuru Kenyatta had 55.27 percent of the vote, with 75.03 percent of votes counted, according to Kenya’s Independent Electoral and Boundary Commission. Raila Odinga was in second place with 43.92 percent of the vote.
Six separate ballots were cast for president, national assembly, senators, governors, local assemblies and female representatives. A total of 14,000 candidates ran in the six elections, including eight candidates for president.
To win in the first round of the presidential election, a candidate needs 50 percent of the vote plus one, and at least 25 percent of the vote in 24 of the 47 counties. If no candidate achieves this, a second round will take place between the top two candidates. 
BBC reported that 180,000 security officers were deployed on election day, and that there were no incidents of violence reported.
(Sources: BBC, Kenya’s Independent Electoral and Boundary Commission)",The Facts|World,Africa|Asia|USA,earthquake|election,Donald Trump|Jacob Zuma|Raila Odinga|Uhuru Kenyatta,Chengdu|China|Kenya|Pretoria|South Africa,climate change,world_news,publish
42785,2017-08-09,US federal climate report says climate change “extremely likely” to be linked to human influence,"A draft report written by scientists from 13 U.S. federal agencies was published by The New York Times on Monday. The report said it’s “extremely likely” that more than half of the increase in global temperature measured since 1951 can be linked to human influence. It concluded with “very high confidence, affected to some degree by limitations in the observational record, that the role of natural variability on future climate change is limited.”
The draft is part of a National Climate Assessment mandated by the U.S. Congress to take place every four years. A draft was finished earlier this year, and was previously available online for public review between December 2016 and February 2017. The National Academy of Sciences has approved the report, and its authors are waiting for permission to officially release it.
(Sources: NYT, Fox, CNN, NYT link to draft report)",The Facts|World,Africa|Asia|USA,earthquake|election,Donald Trump|Jacob Zuma|Raila Odinga|Uhuru Kenyatta,Chengdu|China|Kenya|Pretoria|South Africa,climate change,world_news,publish
42792,2017-08-10,French police arrest man suspected of striking six soldiers with car,"On Wednesday, French police shot and arrested an unarmed man suspected of hitting a group of six soldiers with a car. The incident took place hours before the arrest in the Parisian suburb of Levallois-Perret, near France’s domestic “counter-terrorism” agency. French police apprehended the suspect on a highway north of Paris, according to a judicial official. 
French Interior Minister Gerard Collomb said the incident is being investigated for a possible terrorist motive. Authorities have searched properties associated with the suspect.
(Sources: Fox News, Reuters)",The Facts|World,Europe|Middle East|USA,lawsuit,Nawaz Sharif|Paul Manafort,France|North Korea|Qatar|Washington,civil rights|LGBTQ|military|terrorism|tourism|transgender|travel,world_news,publish
